
sample	lnL(posterior)	lnL(seq)	lnL(times)	lnL(rates)	birth	death	clock	root	tstv	nu	rr0	rr1	rr2	pr0	pr1	pr2	t(calib:CAL1_clade:CLADE1)	t(calib:CAL1_clade:CLADE2)	t(calib:CAL2_clade:CLADE3)	clade(calib:CAL1)	clade(calib:CAL2)	br0	br1	br2	br3	br4	br5	br6	br7	br8	br9	br10	br11	br12	br13	br14	br15	br16	br17	br18	br19	br20	br21	br22	br23	br24	br25	br26	br27	br28	br29	br30	br31	br32	br33	br34	br35	br36	br37	br38	br39	br40	br41	t22	t23	t24	t25	t26	t27	t28	t29	t30	t31	t32	t33	t34	t35	t36	t37	t38	t39	t40	t41	t42	accRT	tuneRT	accT	tuneT	accClock	tuneClock	accTCr	tuneTCr	accTreeRates	tuneTreeRates	accSprW	tuneSprW	accSpr	tuneSpr	accSprLoc	tuneSprLoc	
 20000	 -24018.8	 -23905.1	    -59.1	    -54.7	   0.0423171	   0.0127447	 0.000783142	    -338.275	     6.08276	     1.46051	0.10683	2.41222	7.18087	0.732181	0.209995	0.0578242	-53.7802	-28.0592	-338.275	CLADE1	CLADE3	1.58408	2.11913	0.801055	0.248576	1.94511	0.809948	1.44498	0.718034	1.49218	1.3966	1.45328	0.474171	3.65922	0.880136	1.16463	0.886368	1.40309	2.09266	0.729577	0.890914	0.921914	1.3797	2.11389	0.842813	0.0867701	0.579179	4.87239	1.17638	1.9088	0.757364	1.23082	0.0534428	0.438196	1.99115	2.22123	1.38762	1.07991	3.95089	3.70673	1.07997	0.474501	0.430699	-31.078	-29.4113	-125.772	-8.90721	-36.4927	-35.2325	-11.9612	-19.3059	-58.6015	-32.6827	-32.2665	-45.4844	-21.8503	-27.8958	-26.3149	-44.8387	-52.5953	-28.0592	-53.7802	-10.349	-338.275	0.0594059	17.0859	0.217822	3.375	0.178218	0.444444	0.128713	3.375	0.0990099	1.5	9.61538E-09	1E-10	0.00961539	1.35657E-07	0.0192308	9.04377E-08	
 20100	 -24003.3	 -23902.1	    -57.2	    -44.0	   0.0381125	   0.0137669	   0.0007466	    -382.173	     6.08276	    0.859067	0.105234	2.37616	7.07353	0.74212	0.192068	0.0658113	-57.8067	-22.8012	-382.173	CLADE1	CLADE3	1.13366	1.51656	0.764011	0.205864	2.51051	0.878723	1.44498	0.584783	1.21527	1.56907	1.63275	0.272205	3.35781	0.729972	1.17602	0.65351	1.70938	2.54949	0.642309	0.784348	1.28328	1.32452	0.521676	0.906394	0.0779882	0.579179	2.49803	0.657566	1.37838	0.673071	1.48517	1.68212	0.173923	1.35422	1.52909	1.22562	1.48965	2.58082	0.956922	2.62863	1.23654	0.457831	-30.0232	-29.8469	-115.884	-8.20696	-35.142	-26.074	-8.29933	-20.2049	-64.7968	-34.2725	-29.3442	-37.2072	-16.5251	-24.5079	-29.7709	-46.2488	-53.3658	-22.8012	-57.8067	-13.324	-382.173	0.0594059	17.0859	0.217822	3.375	0.178218	0.444444	0.128713	3.375	0.0990099	1.5	9.61538E-09	1E-10	9.61538E-09	1.35657E-07	0.0192308	9.04377E-08	
 20200	 -24001.3	 -23902.0	    -61.2	    -38.1	   0.0311022	  0.00225473	 0.000699034	    -382.173	     6.08276	    0.859067	0.094878	2.31123	6.37745	0.732002	0.191478	0.0765194	-69.3116	-24.758	-382.173	CLADE1	CLADE3	0.773827	1.0352	0.583846	0.205864	1.88435	0.669401	1.12311	0.792078	1.64606	1.47048	1.53016	0.235298	2.93713	0.637097	0.838122	0.762476	1.31372	1.95938	1.05301	1.21156	0.736919	0.703274	1.86863	0.7002	0.0779882	0.613868	1.64211	1.0688	0.636512	0.135502	1.90312	0.429185	0.74894	1.12507	1.15975	1.27345	0.397715	2.78256	0.943933	0.594455	0.773579	1.09637	-34.3397	-26.4308	-115.884	-11.5891	-42.0969	-35.5422	-11.0572	-14.046	-75.0089	-36.0118	-50.2747	-47.2625	-21.502	-46.1571	-21.9796	-58.993	-61.7362	-24.758	-69.3116	-19.3346	-382.173	0.0594059	17.0859	0.217822	3.375	0.178218	0.444444	0.128713	3.375	0.0990099	1.5	9.61538E-09	1E-10	9.61538E-09	1.35657E-07	0.0192308	9.04377E-08	
 20300	 -24016.6	 -23908.5	    -60.9	    -47.2	   0.0358854	   0.0113066	  0.00067516	    -382.173	     6.08276	    0.859067	0.094878	2.31123	6.37745	0.732002	0.191478	0.0765194	-66.3292	-23.1347	-382.173	CLADE1	CLADE3	0.943374	1.10273	0.709132	0.205864	2.66941	0.798653	1.61608	0.83021	2.1998	1.09836	1.63753	0.189225	2.39217	0.665744	1.16832	1.21581	1.4742	1.76762	1.35845	1.62378	1.31556	1.14441	0.387403	0.210854	0.0247919	0.437852	1.25164	0.577958	1.14673	0.366802	2.28533	1.322	0.118915	1.80694	2.63124	1.98329	0.12694	0.834402	1.54096	0.531445	0.113233	3.88013	-28.6222	-19.4514	-154.618	-8.3966	-39.4046	-32.678	-8.80871	-10.4803	-124.114	-37.0649	-30.467	-56.5413	-19.8239	-28.2914	-19.9473	-61.9375	-65.2388	-23.1347	-66.3292	-16.7995	-382.173	0.0594059	17.0859	0.217822	3.375	0.178218	0.444444	0.128713	3.375	0.0990099	1.5	9.61538E-09	1E-10	9.61538E-09	1.35657E-07	0.00961539	9.04377E-08	
 20400	 -24003.4	 -23904.9	    -56.6	    -41.9	   0.0358854	   0.0111981	 0.000864258	     -330.99	     6.08276	    0.859067	0.101914	2.48263	6.8504	0.732002	0.208457	0.0595408	-65.5084	-22.1177	-330.99	CLADE1	CLADE3	2.22305	2.31388	0.585079	0.27327	2.128	0.716693	1.30383	0.74511	1.74396	1.34157	1.75084	0.198293	3.10343	0.626136	1.4205	1.38787	1.68163	1.69179	1.34237	1.64648	1.22258	1.41831	1.55201	0.27138	0.0244824	0.48822	1.71453	0.857388	2.3364	0.6776	1.20552	0.725013	0.123239	0.567729	1.32557	1.63901	0.408102	2.01911	1.41522	1.76922	0.484559	0.937435	-33.7374	-15.9506	-140.82	-8.3966	-37.4064	-26.6068	-11.1153	-9.41301	-77.7312	-36.2823	-23.3168	-46.2453	-21.4858	-20.7715	-22.8959	-53.981	-63.5175	-22.1177	-65.5084	-7.56543	-330.99	0.0594059	17.0859	0.217822	3.375	0.178218	0.444444	0.128713	3.375	0.0990099	1.5	9.61538E-09	1E-10	0.00961539	1.35657E-07	0.00961539	9.04377E-08	
 20500	 -24008.7	 -23909.2	    -54.5	    -45.0	   0.0415339	   0.0182729	 0.000901065	    -317.738	     6.08276	    0.919739	0.106427	2.59255	7.15371	0.732002	0.218164	0.0498333	-58.3961	-18.0674	-317.738	CLADE1	CLADE3	1.03175	1.08354	0.818607	0.294652	2.53494	0.853747	0.948348	1.00087	1.74643	1.97156	2.21851	0.467928	3.21796	0.686488	1.37647	1.07932	1.54689	2.03124	1.03185	1.27951	0.801285	1.48633	2.11732	0.540545	0.0244822	0.60918	3.07933	1.19778	2.03113	0.677334	1.35609	0.648694	0.21438	2.24183	1.62249	2.37644	0.445782	1.8369	0.569333	0.437385	1.13914	1.06053	-28.2642	-21.2298	-120.896	-11.9373	-34.7557	-28.8092	-9.65816	-12.7491	-69.1152	-28.5158	-22.048	-39.941	-16.8164	-21.1553	-21.4443	-42.4836	-48.1422	-18.0674	-58.3961	-16.1316	-317.738	0.009901	17.0859	0.217822	3.375	0.178218	0.444444	0.128713	3.375	0.0990099	1.5	9.61538E-09	1E-10	0.00961539	1.35657E-07	9.61538E-09	9.04377E-08	
 20600	 -24017.8	 -23907.1	    -54.6	    -56.1	   0.0521395	   0.0222418	  0.00092046	    -347.986	     5.99987	     1.45069	0.111177	2.50367	7.47306	0.732002	0.218164	0.0498333	-60.8062	-19.171	-347.986	CLADE1	CLADE3	1.90115	1.70115	0.771779	0.263292	1.66521	0.653462	1.13654	1.09759	1.91519	1.74571	2.17053	0.417555	3.70863	0.70049	1.39074	1.28696	2.17465	3.11707	2.15145	2.66785	0.910609	1.37197	1.65057	0.319696	0.0166878	0.977471	4.3411	1.34709	2.06984	0.257678	4.98987	1.10799	0.805341	1.80445	1.12432	0.370088	0.660705	1.55138	0.215636	0.579416	2.16689	0.790689	-26.9727	-16.3214	-76.6681	-9.86895	-28.6704	-26.7893	-11.511	-5.74478	-63.4467	-27.4718	-28.7097	-36.1983	-11.4517	-22.2879	-18.3722	-33.8206	-43.4304	-19.171	-60.8062	-8.72911	-347.986	0.009901	17.0859	0.217822	3.375	0.178218	0.444444	0.128713	3.375	0.0990099	1.5	9.61538E-09	1E-10	0.00961539	1.35657E-07	9.61538E-09	9.04377E-08	
 20700	 -24018.2	 -23907.3	    -57.9	    -53.0	   0.0470616	    0.011113	 0.000917348	    -310.387	     6.29454	     1.45069	0.0979699	2.20624	6.58528	0.732002	0.191036	0.0769617	-56.6067	-18.0152	-310.387	CLADE1	CLADE3	1.19496	1.48638	0.991835	0.328158	2.42173	0.950333	1.17708	1.08735	1.82439	1.66427	2.87884	0.41859	3.42717	0.93784	2.15809	1.40979	1.95441	2.79122	0.668089	0.942208	1.00449	1.2631	1.29901	1.22262	0.0218121	1.06684	2.13168	0.637784	1.57504	0.588812	3.33024	2.12584	1.90755	3.40159	2.23473	0.435766	1.84393	2.64978	0.629805	1.70582	2.50221	1.89948	-25.7561	-18.57	-88.1584	-11.8767	-26.9725	-21.5171	-9.86517	-23.0578	-61.8914	-26.6361	-40.368	-48.9264	-15.8814	-31.1093	-23.1141	-43.4398	-54.9853	-18.0152	-56.6067	-12.4517	-310.387	0.009901	17.0859	0.217822	3.375	0.178218	0.444444	0.128713	3.375	0.0990099	1.5	9.61538E-09	1E-10	0.00961539	1.35657E-07	0.0192308	9.04377E-08	
 20800	 -24020.0	 -23909.6	    -54.9	    -55.4	   0.0373925	    0.011113	  0.00090066	    -310.387	     6.54212	     1.29854	0.0988521	2.2261	6.64458	0.732002	0.193074	0.0749239	-64.6036	-18.0365	-310.387	CLADE1	CLADE3	2.82301	3.32649	0.974274	0.328158	3.07605	0.991564	1.25932	1.49543	2.50908	1.85168	3.01317	0.384159	3.30524	0.857096	1.09871	1.96057	2.55435	3.59011	1.18667	2.05195	2.25607	0.973593	0.400951	0.716129	0.098541	0.691445	1.9811	2.10242	1.06198	0.233041	2.85966	0.813707	2.66316	2.1511	1.63822	1.32604	0.588584	2.18928	0.848429	0.281857	2.09778	1.4615	-25.6216	-13.3532	-102.632	-5.17179	-28.8944	-42.8647	-10.0869	-10.5876	-67.6403	-26.5633	-43.2214	-50.7313	-12.1513	-40.36	-16.8066	-45.7291	-57.9747	-18.0365	-64.6036	-5.40133	-310.387	0.009901	17.0859	0.217822	3.375	0.178218	0.444444	0.128713	3.375	0.207921	1.5	9.61538E-09	1E-10	0.00961539	1.35657E-07	0.00961539	9.04377E-08	
 20900	 -24016.9	 -23908.8	    -58.1	    -50.0	   0.0373925	  0.00469083	 0.000817281	    -326.835	     6.18964	     1.29854	0.0873891	1.96796	5.87407	0.732002	0.163387	0.104611	-67.5028	-24.5888	-326.835	CLADE1	CLADE3	2.12381	2.66992	0.966379	0.33112	2.10577	0.833252	0.772495	1.09542	1.83792	1.44314	1.61948	0.375057	3.66496	0.875475	1.42689	1.47018	1.8229	2.85178	0.903271	1.56191	2.34456	1.77999	0.463347	1.15987	0.107357	0.621177	3.09604	1.29758	3.19188	0.698353	2.12667	1.20146	0.483034	1.14319	2.18819	1.39304	1.49056	1.80616	1.45487	0.709488	0.96279	0.790214	-26.9683	-18.9201	-124.223	-8.9579	-28.9836	-35.0686	-13.8003	-14.7787	-74.2299	-27.7269	-26.3491	-47.8094	-16.2533	-23.4551	-24.3777	-41.0394	-63.0926	-24.5888	-67.5028	-8.53987	-326.835	0.009901	17.0859	0.217822	3.375	0.178218	0.444444	0.128713	3.375	0.207921	1.5	9.61538E-09	1E-10	0.0192308	1.35657E-07	0.00961539	9.04377E-08	
 21000	 -24017.0	 -23905.0	    -56.4	    -55.6	   0.0328883	 0.000877299	 0.000865951	    -326.835	     6.07454	     1.49472	0.0985001	2.29134	6.83931	0.732002	0.198995	0.069003	-53.065	-29.2727	-326.835	CLADE1	CLADE3	1.68156	2.44407	1.00463	0.279924	2.04143	0.866108	0.283533	0.87934	1.76666	1.2732	1.57687	0.52878	4.5996	1.09331	1.38946	1.36886	1.83975	2.99499	1.3344	2.30741	0.647979	1.6879	0.8404	0.733586	0.0988579	0.676732	3.42402	1.67953	2.42687	0.50748	2.37623	0.124887	0.312105	3.46745	2.42551	3.07097	0.535602	2.21901	0.385669	1.22682	0.68455	2.22663	-27.0968	-15.3635	-115.129	-31.1858	-34.8737	-32.7314	-11.7896	-11.2843	-72.0796	-27.4206	-24.4021	-38.9051	-16.1559	-23.2549	-22.9229	-45.8557	-44.9301	-29.2727	-53.065	-10.3778	-326.835	0.009901	17.0859	0.217822	3.375	0.178218	0.444444	0.128713	3.375	0.207921	1.5	9.61538E-09	1E-10	0.0192308	1.35657E-07	0.00961539	9.04377E-08	
 21100	 -24020.2	 -23907.4	    -56.7	    -56.1	   0.0328883	   0.0141863	 0.000805999	    -341.521	     5.65854	     1.49472	0.100099	2.32853	6.95029	0.736203	0.19628	0.0675172	-68.5572	-27.9975	-341.521	CLADE1	CLADE3	1.12635	1.56656	1.05624	0.279924	2.55262	1.18635	0.671112	1.66449	3.34407	1.391	1.98125	0.51664	4.934	0.884279	1.45515	0.902138	2.17389	3.53894	0.829061	1.37875	1.53374	1.23381	0.939086	3.86764	0.212475	0.421519	1.59477	2.06777	1.28839	0.312714	1.46643	0.230564	0.189758	1.98575	2.17361	0.573956	0.212005	3.34734	0.151201	1.41783	1.03504	1.21141	-27.1943	-25.3789	-154.591	-10.3356	-40.4463	-32.6581	-9.85227	-19.7334	-81.6982	-27.2525	-39.2358	-37.898	-14.287	-32.4123	-12.6542	-64.4066	-50.7791	-27.9975	-68.5572	-16.1894	-341.521	0.009901	17.0859	0.217822	3.375	0.178218	0.444444	0.128713	3.375	0.207921	1.5	9.61538E-09	1E-10	0.0192308	1.35657E-07	9.61538E-09	9.04377E-08	
 21200	 -24025.3	 -23909.0	    -63.3	    -52.9	   0.0356782	  0.00559353	 0.000749207	    -326.092	     5.65854	     1.44104	0.109966	2.56503	7.6354	0.747461	0.199282	0.0532573	-72.6971	-36.3352	-326.092	CLADE1	CLADE3	2.32296	2.43803	0.763426	0.279924	2.05883	1.11381	1.998	0.658192	1.83292	0.946949	1.42048	0.430005	2.91635	0.834615	1.07623	0.677083	1.16559	1.71068	1.45109	2.4132	1.97041	0.976116	0.751089	1.10527	0.199721	0.449776	1.42715	0.451728	1.01086	0.222158	1.86835	0.610713	0.159795	2.99324	3.09168	4.73122	0.673293	2.60183	0.921753	1.1875	0.643613	0.460365	-37.7334	-32.3824	-142.461	-7.19348	-42.5035	-42.1616	-11.6634	-10.7651	-87.0402	-40.1689	-39.9406	-61.2209	-28.2208	-39.1182	-33.0647	-65.3205	-68.1787	-36.3352	-72.6971	-8.56847	-326.092	0.009901	17.0859	0.217822	3.375	0.178218	0.444444	0.128713	3.375	0.207921	1.5	9.61538E-09	1E-10	9.61538E-09	1.35657E-07	9.61538E-09	9.04377E-08	
 21300	 -24021.7	 -23906.9	    -63.4	    -51.4	   0.0216541	   0.0171536	 0.000525951	    -431.831	     5.65854	     1.14189	0.096275	2.75312	6.6848	0.747461	0.193336	0.0592032	-122.269	-35.2185	-431.831	CLADE1	CLADE3	1.7898	1.94621	0.96594	0.241623	2.8988	1.40144	2.21778	0.663651	1.53557	1.17559	1.6752	0.40894	2.68866	0.533795	1.01856	1.15633	1.66174	2.50557	0.832191	1.02432	2.12893	1.04111	1.40116	0.674576	0.322324	0.236001	1.78766	0.393913	1.00273	0.327657	2.21488	1.16382	0.327883	4.97497	2.4461	1.07168	2.24366	0.34815	0.0879802	0.748303	0.129833	1.31549	-35.7911	-21.6741	-301.769	-7.08984	-39.3104	-50.9222	-12.0331	-21.8921	-248.331	-36.8815	-48.3794	-75.9058	-22.7911	-41.9235	-34.5111	-62.7899	-80.2888	-35.2185	-122.269	-12.148	-431.831	0.009901	17.0859	0.217822	3.375	0.178218	0.444444	0.0792079	3.375	0.207921	1.5	9.61538E-09	1E-10	9.61538E-09	1.35657E-07	9.61538E-09	9.04377E-08	
 21400	 -24009.0	 -23906.4	    -58.1	    -44.5	   0.0309111	   0.0223208	 0.000665768	    -398.663	     5.96267	     1.01596	0.0827685	1.86917	5.74699	0.711987	0.18416	0.103853	-93.5748	-14.3227	-398.663	CLADE1	CLADE3	1.2373	1.44171	0.783252	0.190891	0.818583	0.228988	1.87143	0.777139	1.72621	2.43783	2.12385	0.213652	1.87816	0.516099	1.05563	1.2376	2.16967	2.68775	1.80089	2.19392	2.19593	0.771357	0.28662	1.29767	0.121075	0.34266	1.16542	0.217909	1.17899	0.192996	1.79564	0.50371	0.992966	1.24608	2.67535	0.971713	0.910585	0.959063	2.28303	0.390434	0.840056	2.28735	-22.2607	-18.0528	-151.36	-5.9614	-30.121	-32.0314	-30.4851	-7.23729	-104.072	-28.5464	-52.3921	-77.738	-14.7752	-48.672	-21.9629	-55.8868	-92.4942	-14.3227	-93.5748	-11.8393	-398.663	0.009901	17.0859	0.217822	3.375	0.277228	0.444444	0.0792079	3.375	0.207921	1.5	9.61538E-09	1E-10	9.61538E-09	1.35657E-07	9.61538E-09	9.04377E-08	
 21500	 -24014.3	 -23909.9	    -56.3	    -48.1	   0.0309111	   0.0234555	 0.000710556	     -422.51	     6.40173	     1.01596	0.0890516	2.01106	6.18326	0.711987	0.202355	0.0856585	-67.1509	-20.5896	-422.51	CLADE1	CLADE3	1.6061	1.82575	1.04622	0.172513	2.48768	0.704883	2.09013	1.09488	2.89028	1.63789	1.85979	0.307781	2.49755	0.794068	1.60826	1.26279	2.07083	2.40505	0.479141	0.865389	2.06619	1.01967	1.92016	0.962267	0.164933	0.407875	1.03505	0.253087	1.07115	0.29659	1.99692	1.44666	1.1936	3.7308	2.10452	0.163058	0.683138	0.889154	1.05445	2.15214	0.0388233	0.982295	-24.2132	-16.8562	-169.353	-5.70975	-25.6821	-23.8977	-10.6007	-27.8499	-122.585	-25.4503	-55.9926	-56.184	-14.5307	-29.5515	-14.8777	-57.7763	-61.0633	-20.5896	-67.1509	-11.1774	-422.51	0.039604	17.0859	0.217822	3.375	0.277228	0.444444	0.0792079	3.375	0.207921	1.5	9.61538E-09	1E-10	0.00961539	1.35657E-07	9.61538E-09	9.04377E-08	
 21600	 -24013.0	 -23915.2	    -58.1	    -39.7	   0.0309111	   0.0234555	 0.000629143	    -368.159	     5.94293	    0.906347	0.0856971	1.93531	5.95034	0.711987	0.192973	0.0950406	-85.1626	-26.2349	-368.159	CLADE1	CLADE3	1.86813	2.35004	0.899317	0.173657	1.73765	0.601171	1.48016	0.808776	1.89651	1.3867	1.61195	0.193234	1.84757	0.555025	1.30413	1.26123	1.73046	2.00975	1.10728	1.02665	1.4632	1.49907	1.56482	0.918756	0.230288	0.220642	0.927229	0.164473	1.87362	0.444734	0.547469	1.47752	0.255555	1.63621	2.43158	1.12614	1.33194	0.686009	1.91939	0.378904	0.00153568	1.33829	-24.1001	-16.6695	-294.358	-8.06274	-25.6821	-30.4164	-15.1351	-12.0512	-142.726	-24.8355	-30.8194	-71.8435	-17.3888	-27.5586	-20.1406	-58.726	-83.494	-26.2349	-85.1626	-8.68377	-368.159	0.039604	17.0859	0.217822	3.375	0.277228	0.444444	0.0792079	3.375	0.207921	1.5	9.61538E-09	1E-10	0.00961539	1.35657E-07	0.00961539	9.04377E-08	
 21700	 -24016.0	 -23913.4	    -62.6	    -40.0	   0.0309111	  0.00411663	 0.000649426	     -424.35	     6.03991	    0.906347	0.0921892	2.08192	6.40111	0.723338	0.193931	0.0827306	-93.9425	-21.7036	-424.35	CLADE1	CLADE3	1.2191	1.53358	0.928151	0.173657	1.16377	0.402627	1.48016	0.842621	1.97588	1.56582	1.82017	0.18408	2.15273	0.474693	0.742285	1.00925	2.13902	2.48424	1.71081	1.58624	1.4632	1.15668	1.66273	2.61831	0.0696445	0.444018	1.35709	0.97258	1.74743	0.175656	1.55728	1.00229	1.4889	0.709385	1.78767	0.580323	1.15968	1.1035	0.822389	0.0918674	1.68601	1.42032	-22.373	-19.4594	-151.205	-7.5317	-23.9099	-57.3191	-22.5191	-10.3359	-93.9864	-23.4017	-39.4611	-64.6933	-13.5675	-35.2669	-18.0584	-45.206	-90.255	-21.7036	-93.9425	-12.4305	-424.35	0.039604	17.0859	0.217822	3.375	0.277228	0.444444	0.0792079	3.375	0.207921	1.5	9.61538E-09	1E-10	0.00961539	1.35657E-07	9.61538E-09	9.04377E-08	
 21800	 -24013.6	 -23913.8	    -53.0	    -46.8	   0.0208518	   0.0152227	 0.000849911	    -348.289	     6.03991	    0.906347	0.0921892	2.08192	6.40111	0.723338	0.193931	0.0827306	-76.9009	-19.4671	-348.289	CLADE1	CLADE3	2.3438	2.98085	1.21205	0.173657	1.73833	0.402492	1.71731	0.7193	1.70442	1.31563	1.49201	0.360284	2.61564	0.44019	0.663583	1.16499	1.9634	2.52447	0.766832	0.847255	2.02212	0.952797	0.306117	1.14648	0.0627382	0.588866	1.42179	0.527706	1.33336	0.632253	2.94793	1.93082	0.523694	1.04056	2.83049	0.721096	2.45599	1.04832	0.107402	0.602995	0.807952	0.81806	-18.1116	-13.9112	-99.4238	-4.65764	-19.6242	-39.0395	-12.296	-15.8825	-77.14	-18.3468	-27.5631	-46.3438	-12.2049	-24.0911	-17.3627	-34.9958	-62.8584	-19.4671	-76.9009	-5.51065	-348.289	0.039604	17.0859	0.217822	3.375	0.277228	0.444444	0.0792079	3.375	0.207921	1.5	9.61538E-09	1E-10	9.61538E-09	1.35657E-07	9.61538E-09	9.04377E-08	
 21900	 -24008.2	 -23912.9	    -52.6	    -42.7	   0.0293542	   0.0179013	 0.000836009	    -347.321	     6.08282	    0.906347	0.0912455	2.06061	6.33558	0.721953	0.19356	0.0844871	-74.5666	-21.4881	-347.321	CLADE1	CLADE3	1.3077	1.57639	1.52074	0.173657	2.6398	1.25117	0.195859	0.935648	2.32071	1.30708	1.55341	0.285212	2.56353	0.440995	0.849617	1.21451	2.01362	2.94088	0.927744	1.75459	0.256826	1.32091	0.934397	1.88107	0.0680208	0.733792	1.45717	0.367694	2.00997	0.932219	1.55243	1.1024	0.381346	0.990284	2.32098	1.08236	1.41886	1.19462	0.858457	0.572692	1.92382	1.4223	-17.9172	-15.9234	-118.421	-41.0406	-20.2981	-31.0745	-6.65805	-9.95959	-76.2237	-19.3058	-20.6302	-49.5487	-12.9609	-18.687	-17.187	-33.3557	-63.4372	-21.4881	-74.5666	-9.61313	-347.321	0.039604	17.0859	0.217822	3.375	0.277228	0.444444	0.0792079	3.375	0.207921	1.5	9.61538E-09	1E-10	9.61538E-09	1.35657E-07	9.61538E-09	9.04377E-08	
 22000	 -24015.4	 -23907.3	    -60.2	    -47.9	   0.0290298	   0.0177035	 0.000552935	    -481.022	     5.69644	     1.23439	0.0912455	2.06061	6.33558	0.721953	0.19356	0.0844871	-104.666	-44.9694	-481.022	CLADE1	CLADE3	1.14186	1.38558	1.16328	0.168914	3.30507	1.43707	1.52844	1.35077	3.35036	0.849747	1.00989	0.293946	2.35956	0.422422	0.665895	1.3205	2.1726	3.53214	0.556227	1.05196	1.38781	1.24179	0.677477	0.875254	0.0687701	0.457384	1.82902	1.64249	1.62657	1.97189	1.73992	0.899851	0.627603	1.61038	2.05489	1.18247	0.45682	0.700023	0.422147	0.423992	0.695245	1.96157	-25.9106	-19.4654	-177.775	-8.87431	-29.3438	-62.5285	-6.83897	-22.6008	-126.55	-27.8021	-29.4641	-73.2398	-15.6356	-27.0441	-16.197	-47.1524	-85.9275	-44.9694	-104.666	-14.9785	-481.022	0.039604	17.0859	0.217822	3.375	0.277228	0.444444	0.0792079	3.375	0.207921	1.5	9.61538E-09	1E-10	9.61538E-09	1.35657E-07	9.61538E-09	9.04377E-08	
 22100	 -24014.6	 -23905.5	    -59.6	    -49.5	   0.0312365	  0.00187793	 0.000715716	    -424.204	     5.69644	    0.938713	0.0907645	2.08776	6.30219	0.731392	0.180143	0.0884647	-73.9396	-17.7436	-424.204	CLADE1	CLADE3	1.62085	1.96681	1.49197	0.168914	1.95391	0.62653	0.517953	0.938098	2.32679	1.89921	2.25713	0.358174	2.90082	0.572025	1.0655	1.82482	1.79205	2.91345	0.75836	1.43424	0.470296	1.1675	0.140768	0.866701	0.0618335	0.651316	1.86404	0.612014	2.51292	0.952686	2.34491	1.5755	0.55977	1.8887	3.45519	1.41826	1.33241	0.769812	0.274896	0.490501	0.392221	2.54932	-16.6441	-12.422	-129.267	-23.0942	-24.5424	-35.1971	-13.8336	-14.6188	-93.2612	-23.4432	-27.1466	-49.4547	-16.7169	-25.3672	-20.5674	-40.5165	-62.1111	-17.7436	-73.9396	-8.52857	-424.204	0.039604	17.0859	0.217822	3.375	0.277228	0.444444	0.0792079	3.375	0.207921	1.5	9.61538E-09	1E-10	0.00961539	1.35657E-07	9.61538E-09	9.04377E-08	
 22200	 -24008.9	 -23900.5	    -55.5	    -52.9	   0.0312365	  0.00701417	 0.000743337	    -424.204	     6.03744	     1.04885	0.0890508	2.04834	6.1832	0.721756	0.189779	0.0884647	-63.7661	-15.1412	-424.204	CLADE1	CLADE3	1.78841	2.45783	1.37791	0.168914	2.20625	0.707442	1.81753	0.961321	1.86376	2.19649	2.58934	0.375913	3.06071	0.691131	1.48134	2.10739	2.27914	2.4544	2.3098	2.26378	2.02807	1.88812	0.311511	0.43592	0.0634756	0.51868	1.09355	0.466052	3.12995	0.655225	1.29552	1.51453	0.25995	1.19531	2.60413	1.29333	1.41641	2.64548	1.0459	0.767124	1.89651	3.14001	-20.4691	-10.7564	-136.897	-5.3328	-24.4448	-22.6087	-12.2514	-7.75655	-66.5405	-23.5416	-21.8484	-46.8713	-15.2764	-19.1777	-20.0705	-51.0511	-59.1802	-15.1412	-63.7661	-8.23649	-424.204	0.039604	17.0859	0.217822	3.375	0.277228	0.444444	0.0792079	3.375	0.207921	1.5	9.61538E-09	1E-10	0.00961539	1.35657E-07	9.61538E-09	9.04377E-08	
 22300	 -24007.3	 -23904.5	    -54.8	    -48.0	   0.0312365	  0.00841299	 0.000770459	    -417.556	     5.74919	     1.04885	0.0900622	2.0716	6.25342	0.72332	0.19019	0.0864898	-61.9065	-19.9634	-417.556	CLADE1	CLADE3	1.45566	2.00053	1.31722	0.145723	2.06909	0.663463	0.698066	0.814481	1.57908	1.41469	1.6677	0.377536	2.37253	0.604528	0.598354	1.4881	3.22281	3.03816	1.49112	1.46141	0.778929	1.4909	0.164262	0.809958	0.0500082	0.603096	3.26221	2.08205	1.95687	0.668222	1.86436	0.974324	0.588061	3.21362	1.09868	1.74031	1.0348	1.15532	0.583762	0.176461	0.706122	1.14603	-17.0284	-13.813	-107.875	-11.7908	-25.0725	-47.5306	-11.0934	-10.1129	-68.2343	-24.0606	-22.1036	-51.3475	-9.26676	-21.0935	-20.1163	-31.8577	-57.5243	-19.9634	-61.9065	-8.15645	-417.556	0.039604	17.0859	0.217822	3.375	0.277228	0.444444	0.0792079	3.375	0.207921	1.5	9.61538E-09	1E-10	9.61538E-09	1.35657E-07	9.61538E-09	9.04377E-08	
